"key","type","question-zh","question-en","question-vi","question-id","options_A_en","options_A_zh","options_A_vi","options_A_id","options_B_en","options_B_zh","options_B_vi","options_B_id","options_C_en","options_C_zh","options_C_vi","options_C_id","options_D_en","options_D_zh","options_D_vi","options_D_id","answer","answer-en","answer-zh","answer-vi","answer-id","explanation_en","explanation_zh","explanation_vi","explanation_id","image"
"quiz.q1","mcq","奶奶问：‘我刚坐下，餐巾该放在腿上、桌子上还是盘子上？’","Grandma asks: 'I just sat down in the restaurant. Should I put the napkin on my lap, the table, or the plate?'","Bà hỏi: 'Khi vừa ngồi xuống, tôi nên đặt khăn ăn trên đùi, bàn hay đĩa?'","Nenek bertanya: 'Saya baru duduk, serbet harus diletakkan di pangkuan, meja, atau piring?'","On your lap","放在腿上","Trên đùi","Di pangkuan","On the table","放在桌上","Trên bàn","Di meja","On the plate","放在盘子上","Trên đĩa","Di piring","In your pocket","放在口袋里","Trong túi","Di saku","A","On your lap","放在腿上","Trên đùi","Di pangkuan","The napkin should go on your lap as soon as you sit down.","餐巾应该放在腿上。","Khăn ăn nên đặt trên đùi.","Serbet harus diletakkan di pangkuan.","https://images.unsplash.com/photo-1529042410759-befb1204b468"
"quiz.q2","truefalse","叔叔说：‘在澳洲餐厅必须给15%的小费。’这是对的吗？","Uncle says: 'In Australia, you must always tip 15%.' Is this true?","Chú nói: 'Ở Úc, luôn phải tip 15%.' Đúng không?","Paman berkata: 'Di Australia, harus selalu memberi tip 15%.' Apakah benar?","true","对","Đúng","Benar","false","错","Sai","Salah","","","","","","","","","B","false","错","Sai","Salah","In Australia, tipping is not mandatory, only optional in high-end dining.","在澳洲，小费不是必须的，只有在高档餐厅才可能给。","Ở Úc, tip không bắt buộc, chỉ tùy chọn ở nhà hàng cao cấp.","Di Australia, tip tidak wajib, hanya opsional di restoran mewah.","https://upload.wikimedia.org/wikipedia/commons/1/15/Australian_currency.jpg"
"quiz.q3","mcq","朋友问：‘如果你被邀请吃饭，通常是谁买单？’","Your friend asks: 'Who usually pays the bill if you are invited to dinner?'","Bạn hỏi: 'Nếu bạn được mời đi ăn, thường thì ai sẽ trả tiền?'","Teman bertanya: 'Jika Anda diundang makan, biasanya siapa yang membayar?'","The inviter","主人","Người mời","Pengundang","The guest","客人","Khách","Tamu","Split evenly","平分","Chia đều","Membagi rata","The waiter","服务员","Nhân viên phục vụ","Pelayan","A","The inviter","主人","Người mời","Pengundang","Usually the inviter pays, though the guest should offer symbolically.","通常是主人买单，客人应象征性提出付款。","Thường người mời sẽ trả, khách nên đề nghị tượng trưng.","Biasanya pengundang yang membayar, tamu sebaiknya menawarkan secara simbolis.","https://images.unsplash.com/photo-1517248135467-4c7edcad34c4"
"quiz.q4","mcq","对话4：在这里什么是正确的用餐礼仪？","Conversation 4: What is correct dining etiquette here?","Hội thoại 4: Phép lịch sự ăn uống đúng ở đây là gì?","Percakapan 4: Apa etika makan yang benar di sini?","Correct action","正确做法","Hành động đúng","Tindakan benar","Wrong action","错误做法","Hành động sai","Tindakan salah","Depends","视情况而定","Tùy tình huống","Tergantung situasi","None","都不是","Không cái nào","Tidak ada","A","Correct action","正确做法","Hành động đúng","Tindakan benar","Choose the polite option.","选择礼貌的选项。","Chọn phương án lịch sự.","Pilih opsi sopan.","https://images.unsplash.com/photo-1529692236671-f1dc28d2d6d3"
"quiz.q5","mcq","对话5：在这里什么是正确的用餐礼仪？","Conversation 5: What is correct dining etiquette here?","Hội thoại 5: Phép lịch sự ăn uống đúng ở đây là gì?","Percakapan 5: Apa etika makan yang benar di sini?","Correct action","正确做法","Hành động đúng","Tindakan benar","Wrong action","错误做法","Hành động sai","Tindakan salah","Depends","视情况而定","Tùy tình huống","Tergantung situasi","None","都不是","Không cái nào","Tidak ada","A","Correct action","正确做法","Hành động đúng","Tindakan benar","Choose the polite option.","选择礼貌的选项。","Chọn phương án lịch sự.","Pilih opsi sopan.","https://images.unsplash.com/photo-1529692236671-f1dc28d2d6d3"
"quiz.q6","mcq","对话6：在这里什么是正确的用餐礼仪？","Conversation 6: What is correct dining etiquette here?","Hội thoại 6: Phép lịch sự ăn uống đúng ở đây là gì?","Percakapan 6: Apa etika makan yang benar di sini?","Correct action","正确做法","Hành động đúng","Tindakan benar","Wrong action","错误做法","Hành động sai","Tindakan salah","Depends","视情况而定","Tùy tình huống","Tergantung situasi","None","都不是","Không cái nào","Tidak ada","A","Correct action","正确做法","Hành động đúng","Tindakan benar","Choose the polite option.","选择礼貌的选项。","Chọn phương án lịch sự.","Pilih opsi sopan.","https://images.unsplash.com/photo-1529692236671-f1dc28d2d6d3"
"quiz.q7","mcq","对话7：在这里什么是正确的用餐礼仪？","Conversation 7: What is correct dining etiquette here?","Hội thoại 7: Phép lịch sự ăn uống đúng ở đây là gì?","Percakapan 7: Apa etika makan yang benar di sini?","Correct action","正确做法","Hành động đúng","Tindakan benar","Wrong action","错误做法","Hành động sai","Tindakan salah","Depends","视情况而定","Tùy tình huống","Tergantung situasi","None","都不是","Không cái nào","Tidak ada","A","Correct action","正确做法","Hành động đúng","Tindakan benar","Choose the polite option.","选择礼貌的选项。","Chọn phương án lịch sự.","Pilih opsi sopan.","https://images.unsplash.com/photo-1529692236671-f1dc28d2d6d3"
"quiz.q8","mcq","对话8：在这里什么是正确的用餐礼仪？","Conversation 8: What is correct dining etiquette here?","Hội thoại 8: Phép lịch sự ăn uống đúng ở đây là gì?","Percakapan 8: Apa etika makan yang benar di sini?","Correct action","正确做法","Hành động đúng","Tindakan benar","Wrong action","错误做法","Hành động sai","Tindakan salah","Depends","视情况而定","Tùy tình huống","Tergantung situasi","None","都不是","Không cái nào","Tidak ada","A","Correct action","正确做法","Hành động đúng","Tindakan benar","Choose the polite option.","选择礼貌的选项。","Chọn phương án lịch sự.","Pilih opsi sopan.","https://images.unsplash.com/photo-1529692236671-f1dc28d2d6d3"
"quiz.q9","mcq","对话9：在这里什么是正确的用餐礼仪？","Conversation 9: What is correct dining etiquette here?","Hội thoại 9: Phép lịch sự ăn uống đúng ở đây là gì?","Percakapan 9: Apa etika makan yang benar di sini?","Correct action","正确做法","Hành động đúng","Tindakan benar","Wrong action","错误做法","Hành động sai","Tindakan salah","Depends","视情况而定","Tùy tình huống","Tergantung situasi","None","都不是","Không cái nào","Tidak ada","A","Correct action","正确做法","Hành động đúng","Tindakan benar","Choose the polite option.","选择礼貌的选项。","Chọn phương án lịch sự.","Pilih opsi sopan.","https://images.unsplash.com/photo-1529692236671-f1dc28d2d6d3"
"quiz.q10","mcq","对话10：在这里什么是正确的用餐礼仪？","Conversation 10: What is correct dining etiquette here?","Hội thoại 10: Phép lịch sự ăn uống đúng ở đây là gì?","Percakapan 10: Apa etika makan yang benar di sini?","Correct action","正确做法","Hành động đúng","Tindakan benar","Wrong action","错误做法","Hành động sai","Tindakan salah","Depends","视情况而定","Tùy tình huống","Tergantung situasi","None","都不是","Không cái nào","Tidak ada","A","Correct action","正确做法","Hành động đúng","Tindakan benar","Choose the polite option.","选择礼貌的选项。","Chọn phương án lịch sự.","Pilih opsi sopan.","https://images.unsplash.com/photo-1529692236671-f1dc28d2d6d3"
